,num,word,lemma,pos,pos_2,empty,dependency_arc,dependency_part,dependency_arc_2,dependency_part_2
0,1,בתוך,בתוך,IN,IN,,0,ROOT,_,_
1,2,עיניה,עין,NN,NN,gen=F|num=P|suf_gen=F|suf_num=S|suf_per=3,1,pobj,_,_
2,3,ה,ה,DEF,DEF,,4,def,_,_
3,4,כחולות,כחול,JJ,JJ,gen=F|num=P,2,amod,_,_
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,suf_gen,suf_num,suf_per,tense,word
0,PREPOSITION,1,ב,0,1,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,ב
1,IN,1,בתוך,0,3,-1,-1,-1,IN,-1,-1,-1,-1,-1,בתוך
2,DEF,1,ה,1,2,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
3,NNT,1,תוך,1,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,תוך
4,P,1,תוך,1,3,-1,-1,-1,P,-1,-1,-1,-1,-1,תוך
5,IN,1,תוך,1,3,-1,-1,-1,IN,-1,-1,-1,-1,-1,תוך
6,NN,1,תוך,1,3,-1,S,-1,NN,-1,-1,-1,-1,-1,תוך
7,VB,1,תיווך,1,3,-1,S,2,VB,-1,-1,-1,-1,IMPERATIVE,תוך
8,VB,1,תיווך,2,3,-1,S,2,VB,-1,-1,-1,-1,IMPERATIVE,תוך
9,NN,1,תוך,2,3,-1,S,-1,NN,-1,-1,-1,-1,-1,תוך
10,IN,1,תוך,2,3,-1,-1,-1,IN,-1,-1,-1,-1,-1,תוך
11,P,1,תוך,2,3,-1,-1,-1,P,-1,-1,-1,-1,-1,תוך
12,NNT,1,תוך,2,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,תוך
13,NN,2,עין,3,4,-1,P,-1,NN,-1,F,S,3,-1,עיניה
14,DEF,3,ה,4,5,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
15,REL,3,ה,4,6,-1,-1,-1,REL,-1,-1,-1,-1,-1,ה
16,NNP,3,הכחולות,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,הכחולות
17,NN,3,הכחולות,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,הכחולות
18,NN,3,הכחולות,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,הכחולות
19,NNP,3,הכחולות,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,הכחולות
20,NNP,3,הכחולות,4,7,-1,-1,-1,NNP,-1,-1,-1,-1,-1,הכחולות
21,NNP,3,הכחולות,4,7,-1,S,-1,NNP,-1,-1,-1,-1,-1,הכחולות
22,NN,3,הכחולות,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,הכחולות
23,NN,3,הכחולות,4,7,-1,S,-1,NN,-1,-1,-1,-1,-1,הכחולות
24,NN,3,הכחולות,4,7,-1,P,-1,NN,-1,-1,-1,-1,-1,הכחולות
25,JJT,3,כחול,5,7,-1,P,-1,JJT,-1,-1,-1,-1,-1,כחולות
26,JJ,3,כחול,5,7,-1,P,-1,JJ,-1,-1,-1,-1,-1,כחולות
27,JJT,3,כחול,6,7,-1,P,-1,JJT,-1,-1,-1,-1,-1,כחולות
28,JJ,3,כחול,6,7,-1,P,-1,JJ,-1,-1,-1,-1,-1,כחולות
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,tense,word
0,-1,-1,בתוך,0,1,1,-1,-1,IN,IN,-1,בתוך
1,-1,F,עין,1,2,2,P,-1,NN,NN,-1,עיניה
2,-1,-1,ה,2,3,3,-1,-1,DEF,DEF,-1,ה
3,-1,F,כחול,3,4,3,P,-1,JJ,JJ,-1,כחולות
