,token 0,token 1,token 2,token 3
0,הטופס,מיועד,לתושבי,ישראל
1,,,,
,lemma 0,lemma 1,lemma 2,lemma 3,lemma 4,lemma 5
0,ה,טופס,יועד,ל,תושב,ישראל
1,,,,,,
,segment 0,segment 1,segment 2,segment 3,segment 4,segment 5
0,ה,טופס,מיועד,ל,תושבי,ישראל
1,,,,,,
,num,word,lemma,pos,pos_2,empty,dependency_arc,dependency_part,dependency_arc_2,dependency_part_2
0,1,ה,ה,DEF,DEF,,2,def,_,_
1,2,טופס,טופס,NN,NN,gen=M|num=S,3,subj,_,_
2,3,מיועד,יועד,BN,BN,gen=M|num=S|per=A,0,ROOT,_,_
3,4,ל,ל,PREPOSITION,PREPOSITION,,3,comp,_,_
4,5,תושבי,תושב,NNT,NNT,gen=M|num=P,4,pobj,_,_
5,6,ישראל,ישראל,NNP,NNP,gen=M|num=S,5,gobj,_,_
6,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,suf_gen,suf_num,suf_per,tense,word
0,DEF,1,ה,0,1,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
1,REL,1,ה,0,2,-1,-1,-1,REL,-1,-1,-1,-1,-1,ה
2,NNP,1,הטופס,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,הטופס
3,NN,1,הטופס,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,הטופס
4,NN,1,הטופס,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,הטופס
5,NNP,1,הטופס,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,הטופס
6,NNP,1,הטופס,0,3,-1,-1,-1,NNP,-1,-1,-1,-1,-1,הטופס
7,NNP,1,הטופס,0,3,-1,S,-1,NNP,-1,-1,-1,-1,-1,הטופס
8,NN,1,הטופס,0,3,-1,P,-1,NN,-1,-1,-1,-1,-1,הטופס
9,NN,1,הטופס,0,3,-1,S,-1,NN,-1,-1,-1,-1,-1,הטופס
10,NN,1,הטופס,0,3,-1,P,-1,NN,-1,-1,-1,-1,-1,הטופס
11,NNT,1,טופס,1,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,טופס
12,NN,1,טופס,1,3,-1,S,-1,NN,-1,-1,-1,-1,-1,טופס
13,NNT,1,טופס,2,3,-1,S,-1,NNT,-1,-1,-1,-1,-1,טופס
14,NN,1,טופס,2,3,-1,S,-1,NN,-1,-1,-1,-1,-1,טופס
15,PREPOSITION,2,מ,3,4,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,מ
16,BNT,2,יועד,3,5,-1,S,A,BNT,-1,-1,-1,-1,-1,מיועד
17,JJT,2,מיועד,3,5,-1,S,-1,JJT,-1,-1,-1,-1,-1,מיועד
18,JJ,2,מיועד,3,5,-1,S,-1,JJ,-1,-1,-1,-1,-1,מיועד
19,BN,2,יועד,3,5,-1,S,A,BN,-1,-1,-1,-1,-1,מיועד
20,VB,2,יועד,3,5,-1,S,A,VB,-1,-1,-1,-1,BEINONI,מיועד
21,NNP,2,יועד,4,5,-1,S,-1,NNP,-1,-1,-1,-1,-1,יועד
22,VB,2,הועד,4,5,-1,S,3,VB,-1,-1,-1,-1,FUTURE,יועד
23,VB,2,נועד,4,5,-1,S,3,VB,-1,-1,-1,-1,FUTURE,יועד
24,VB,2,יועד,4,5,-1,S,3,VB,-1,-1,-1,-1,PAST,יועד
25,PREPOSITION,3,ל,5,6,-1,-1,-1,PREPOSITION,-1,-1,-1,-1,-1,ל
26,NNP,3,לתושבי,5,8,-1,S,-1,NNP,-1,-1,-1,-1,-1,לתושבי
27,NN,3,לתושבי,5,8,-1,S,-1,NN,-1,-1,-1,-1,-1,לתושבי
28,NN,3,לתושבי,5,8,-1,S,-1,NN,-1,-1,-1,-1,-1,לתושבי
29,NNP,3,לתושבי,5,8,-1,S,-1,NNP,-1,-1,-1,-1,-1,לתושבי
30,NNP,3,לתושבי,5,8,-1,S,-1,NNP,-1,-1,-1,-1,-1,לתושבי
31,NNP,3,לתושבי,5,8,-1,-1,-1,NNP,-1,-1,-1,-1,-1,לתושבי
32,NN,3,לתושבי,5,8,-1,P,-1,NN,-1,-1,-1,-1,-1,לתושבי
33,NN,3,לתושבי,5,8,-1,S,-1,NN,-1,-1,-1,-1,-1,לתושבי
34,NN,3,לתושבי,5,8,-1,P,-1,NN,-1,-1,-1,-1,-1,לתושבי
35,DEF,3,ה,6,7,-1,-1,-1,DEF,-1,-1,-1,-1,-1,ה
36,NN,3,תושב,6,8,-1,P,-1,NN,-1,M,S,1,-1,תושבי
37,NNT,3,תושב,6,8,-1,P,-1,NNT,-1,-1,-1,-1,-1,תושבי
38,NN,3,תושב,6,8,-1,S,-1,NN,-1,M,S,1,-1,תושבי
39,VB,3,הושב,6,8,-1,S,2,VB,-1,-1,-1,-1,FUTURE,תושבי
40,VB,3,הושב,7,8,-1,S,2,VB,-1,-1,-1,-1,FUTURE,תושבי
41,NN,3,תושב,7,8,-1,S,-1,NN,-1,M,S,1,-1,תושבי
42,NNT,3,תושב,7,8,-1,P,-1,NNT,-1,-1,-1,-1,-1,תושבי
43,NN,3,תושב,7,8,-1,P,-1,NN,-1,M,S,1,-1,תושבי
44,NNP,4,ישראל,8,9,-1,S,-1,NNP,-1,-1,-1,-1,-1,ישראל
45,NNP,4,ישראל,8,9,-1,S,-1,NNP,-1,-1,-1,-1,-1,ישראל
46,,,,,,,,,,,,,,,
,empty,gen,lemma,num,num_2,num_last,num_s_p,per,pos,pos_2,tense,word
0,-1,-1,ה,0,1,1,-1,-1,DEF,DEF,-1,ה
1,-1,M,טופס,1,2,1,S,-1,NN,NN,-1,טופס
2,-1,M,יועד,2,3,2,S,A,BN,BN,-1,מיועד
3,-1,-1,ל,3,4,3,-1,-1,PREPOSITION,PREPOSITION,-1,ל
4,-1,M,תושב,4,5,3,P,-1,NNT,NNT,-1,תושבי
5,-1,M,ישראל,5,6,4,S,-1,NNP,NNP,-1,ישראל
6,,,,,,,,,,,,
